mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
20	20	117/2	1.0	3/8	3/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
20	20	119/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21	21	60	1.5	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
21	21	123/2	1.5	3/8	3/8	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	22	63	0.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	127/2	0.5	1/8	1/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	22	64	0.5	1/4	1/4	6/8	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
22	22	129/2	0.5	3/8	3/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	22	65	0.5	1/2	1/2	6/8	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	131/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
23	23	66	3.0	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
24	24	69	3.0	0	0	6/8	4	1		V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
25	25	72	3.0	0	0	6/8	4	1		v.i	A	v		i	i							m	0	1	0, -3, 1		0	0
26	26	75	1.5	0	0	6/8	4	1		VI	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
26	26	153/2	1.5	3/8	3/8	6/8	4	1		V	A	v		V	V							M	0	1	1, 5, 2		1	1
27	27	78	1.0	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
27	27	79	0.5	1/4	1/4	6/8	4	1		#viio6	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
27	27	159/2	1.0	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
27	27	161/2	0.5	5/8	5/8	6/8	4	1		#viio	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
28	28	81	1.0	0	0	6/8	4	1		i(94)	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
28	28	82	0.5	1/4	1/4	6/8	4	1		viio7/V	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
28	28	165/2	1.5	3/8	3/8	6/8	4	1		V\\	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
29	29	84	1.0	0	0	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
29	29	85	0.5	1/4	1/4	6/8	4	1		V43	A	v		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
29	29	171/2	1.0	3/8	3/8	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
29	29	173/2	0.5	5/8	5/8	6/8	4	1		V6/iv	A	v		V6/iv	V		6		iv			M	0	1	4, 1, 0		0	4
30	30	87	1.0	0	0	6/8	4	1		iv	A	v		iv	iv							m	0	1	-1, -4, 0		-1	-1
30	30	88	0.5	1/4	1/4	6/8	4	1		V43/iv	A	v		V43/iv	V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
30	30	177/2	1.0	3/8	3/8	6/8	4	1		iv6	A	v		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
30	30	179/2	0.5	5/8	5/8	6/8	4	1		ii%7	A	v		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
31	31	90	0.5	0	0	6/8	4	1		bVII.I(64)	A	bVII		I(64)	I			64				M	0	0	0, -1, 3		0	0
31	31	181/2	0.5	1/8	1/8	6/8	4	1		I	A	bVII		I	I							M	0	0	0, 4, 1		0	0
31	31	91	0.5	1/4	1/4	6/8	4	1		ii6	A	bVII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
31	31	183/2	0.5	3/8	3/8	6/8	4	1		V7	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	92	0.5	1/2	1/2	6/8	4	1		V(64)	A	bVII		V(64)	V			64				M	0	0	1, 0, 4		1	1
31	31	185/2	0.5	5/8	5/8	6/8	4	1		V7	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	93	1.5	0	0	6/8	4	1		I(974)	A	bVII		I(974)	I			974				M	0	0	0, -1, 1	2, 5	0	0
32	32	189/2	1.0	3/8	3/8	6/8	4	1		I\\	A	bVII		I	I						\\	M	0	0	0, 4, 1		0	0
32	32	191/2	0.5	5/8	5/8	6/8	4	1		v.V	A	v		V	V							M	0	1	1, 5, 2		1	1
33	33	96	1.5	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
33	33	195/2	1.5	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
34	34	99	1.5	0	0	6/8	4	1		VI	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
34	34	201/2	1.5	3/8	3/8	6/8	4	1		V	A	v		V	V							M	0	1	1, 5, 2		1	1
35	35	102	1.0	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	35	103	0.5	1/4	1/4	6/8	4	1		#viio6	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
35	35	207/2	1.0	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
35	35	209/2	0.5	5/8	5/8	6/8	4	1		#viio	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
36	36	105	1.0	0	0	6/8	4	1		i(94)	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
36	36	106	0.5	1/4	1/4	6/8	4	1		viio7/V	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
36	36	213/2	1.5	3/8	3/8	6/8	4	1		V\\	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
37	37	108	1.0	0	0	6/8	4	1		V.I	A	V		I	I							M	0	0	0, 4, 1		0	0
37	37	109	0.5	1/4	1/4	6/8	4	1		V43	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
37	37	219/2	1.5	3/8	3/8	6/8	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
38	38	111	1.0	0	0	6/8	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
38	38	112	0.5	1/4	1/4	6/8	4	1		V43/IV	A	V		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
38	38	225/2	4.5	3/8	3/8	6/8	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
40	40	117	3.0	0	0	6/8	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
41	41	120	1.0	0	0	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
41	41	121	0.5	1/4	1/4	6/8	4	1		V6/ii	A	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
41	41	243/2	1.0	3/8	3/8	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
41	41	245/2	0.5	5/8	5/8	6/8	4	1		ii%2	A	V		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
42	42	123	1.5	0	0	6/8	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
42	42	249/2	0.5	3/8	3/8	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
42	42	125	0.5	1/2	1/2	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
42	42	251/2	0.5	5/8	5/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	126	3.0	0	0	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
44	44	129	1.5	0	0	6/8	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
44	44	261/2	1.5	3/8	3/8	6/8	4	1		V2/ii	A	V		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
45	45	132	1.5	0	0	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
45	45	267/2	1.5	3/8	3/8	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
46	46	135	1.5	0	0	6/8	4	1		V/iii	A	V		V/iii	V				iii			M	0	0	5, 9, 6		5	5
46	46	273/2	1.5	3/8	3/8	6/8	4	1		#viio6/iii	A	V		#viio6/iii	#vii	o	6		iii			o	0	0	6, 3, 9		9	6
47	47	138	1.5	0	0	6/8	4	1		iii6	A	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
47	47	279/2	1.5	3/8	3/8	6/8	4	1		iii	A	V		iii	iii							m	0	0	4, 1, 5		4	4
48	48	141	3.0	0	0	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	144	0.5	0	0	6/8	4	1		I6(7)	A	V		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
49	49	289/2	1.0	1/8	1/8	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
49	49	291/2	0.5	3/8	3/8	6/8	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
49	49	146	1.0	1/2	1/2	6/8	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
50	50	147	2.0	0	0	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
50	50	149	1.0	1/2	1/2	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
51	51	150	3.0	0	0	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
52	52	153	1.5	0	0	6/8	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
52	52	309/2	1.5	3/8	3/8	6/8	4	1		V6	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
53	53	156	1.5	0	0	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
53	53	315/2	1.5	3/8	3/8	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
54	54	159	1.5	0	0	6/8	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
54	54	321/2	1.5	3/8	3/8	6/8	4	1		vi6	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
55	55	162	1.5	0	0	6/8	4	1		iii6	A	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
55	55	327/2	1.5	3/8	3/8	6/8	4	1		iii	A	V		iii	iii							m	0	0	4, 1, 5		4	4
56	56	165	1.5	0	0	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	56	333/2	1.5	3/8	3/8	6/8	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
57	57	168	1.5	0	0	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	57	339/2	1.5	3/8	3/8	6/8	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
58	58	171	1.5	0	0	6/8	4	1		V43	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
58	58	345/2	1.0	3/8	3/8	6/8	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
58	58	347/2	0.5	5/8	5/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	59	174	1.5	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
59	59	351/2	1.5	3/8	3/8	6/8	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
60	60	177	1.5	0	0	6/8	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
60	60	357/2	1.5	3/8	3/8	6/8	4	1		viio/V	A	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
61	61	180	1.5	0	0	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
61	61	363/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	62	183	3.0	0	0	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
63	63	186	1.5	0	0	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
63	63	375/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
64	64	189	3.0	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
65	65	192	1.5	0	0	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
65	65	387/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	66	195	3.0	0	0	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
67	67	198	3.0	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
68	68	201	2.0	0	0	6/8	4	1		V2/IV	A	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
68	68	203	0.5	1/2	1/2	6/8	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
68	68	407/2	0.5	5/8	5/8	6/8	4	1		V65/IV	A	V		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
69	69	204	0.5	0	0	6/8	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
69	69	409/2	0.5	1/8	1/8	6/8	4	1		V43/ii	A	V		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
69	69	205	0.5	1/4	1/4	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
69	69	411/2	0.5	3/8	3/8	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
69	69	206	1.0	1/2	1/2	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	70	207	0.5	0	0	6/8	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
70	70	415/2	2.5	1/8	1/8	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
71	71	210	3.0	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
72	72	213	2.0	0	0	6/8	4	1		V65(2)/ii	A	V		V65(2)/ii	V		65	2	ii			Mm7	0	0	7, 4, 1, -2		3	7
72	72	215	1.0	1/2	1/2	6/8	4	1		V65/ii	A	V		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
73	73	216	1.0	0	0	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
73	73	217	0.5	1/4	1/4	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
73	73	435/2	0.5	3/8	3/8	6/8	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
73	73	218	1.0	1/2	1/2	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	74	219	1.5	0	0	6/8	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
74	74	441/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
75	75	222	1.5	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
75	75	447/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
76	76	225	1.5	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
76	76	453/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
77	77	228	1.5	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
77	77	459/2	1.5	3/8	3/8	6/8	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
78	78	231	3.0	0	0	6/8	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
79	79			0	0	6/8	4	1	1	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
80	79	234	3.0	0	0	6/8	4	1	2	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
81	80	237	6.0	0	0	6/8	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
83	82	243	2.0	0	0	6/8	4	1		#viio7/ii	A	V		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
83	82	245	0.5	1/2	1/2	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
83	82	491/2	0.5	5/8	5/8	6/8	4	1		#viio6/ii	A	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
84	83	246	3.0	0	0	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
85	84	249	2.0	0	0	6/8	4	1		#viio43/ii	A	V		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
85	84	251	0.5	1/2	1/2	6/8	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
85	84	503/2	0.5	5/8	5/8	6/8	4	1		#viio6/ii	A	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
86	85	252	3.0	0	0	6/8	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
87	86	255	2.0	0	0	6/8	4	1		IV.viio43	A	IV		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
87	86	257	0.5	1/2	1/2	6/8	4	1		I6	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
87	86	515/2	0.5	5/8	5/8	6/8	4	1		viio6	A	IV		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
88	87	258	3.0	0	0	6/8	4	1		I	A	IV		I	I							M	0	0	0, 4, 1		0	0
89	88	261	2.0	0	0	6/8	4	1		V2	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
89	88	263	0.5	1/2	1/2	6/8	4	1		I6	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
89	88	527/2	0.5	5/8	5/8	6/8	4	1		V43	A	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
90	89	264	0.5	0	0	6/8	4	1		I	A	IV		I	I							M	0	0	0, 4, 1		0	0
90	89	529/2	1.0	1/8	1/8	6/8	4	1		I6	A	IV		I6	I		6					M	0	0	4, 1, 0		0	4
90	89	531/2	0.5	3/8	3/8	6/8	4	1		IV	A	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
90	89	266	1.0	1/2	1/2	6/8	4	1		IV6	A	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
91	90	267	1.5	0	0	6/8	4	1		V(64)	A	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1
91	90	537/2	1.5	3/8	3/8	6/8	4	1		V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	91	270	1.0	0	0	6/8	4	1		I\\	A	IV		I	I						\\	M	0	0	0, 4, 1		0	0
92	91	271	2.0	1/4	1/4	6/8	4	1		I[I	A	IV	I	I	I							M	0	0	0, 4, 1		0	0
93	92	273	3.0	0	0	6/8	4	1		V7/IV	A	IV	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
94	93	276	3.0	0	0	6/8	4	1		IV64	A	IV	I	IV64	IV		64					M	0	0	0, -1, 3		-1	0
95	94	279	4.5	0	0	6/8	4	1		V7	A	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	95	567/2	1.5	3/8	3/8	6/8	4	1		I	A	IV	I	I	I							M	0	0	0, 4, 1		0	0
97	96	285	3.0	0	0	6/8	4	1		V7/IV	A	IV	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
98	97	288	3.0	0	0	6/8	4	1		IV64	A	IV	I	IV64	IV		64					M	0	0	0, -1, 3		-1	0
99	98	291	2.5	0	0	6/8	4	1		V7	A	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
99	98	587/2	0.5	5/8	5/8	6/8	4	1		V2	A	IV	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
100	99	294	3.0	0	0	6/8	4	1		I6]	A	IV	I	I6	I		6					M	0	0	4, 1, 0		0	4
101	100	297	1.5	0	0	6/8	4	1		V2	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
101	100	597/2	1.5	3/8	3/8	6/8	4	1		V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
102	101	300	3.0	0	0	6/8	4	1		I	A	IV		I	I							M	0	0	0, 4, 1		0	0
103	102	303	1.5	0	0	6/8	4	1		IV	A	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
103	102	609/2	1.5	3/8	3/8	6/8	4	1		V	A	IV		V	V							M	0	0	1, 5, 2		1	1
104	103	306	3.0	0	0	6/8	4	1		I\\	A	IV		I	I						\\	M	0	0	0, 4, 1		0	0
105	104	309	1.5	0	0	6/8	4	1		V2	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
105	104	621/2	1.5	3/8	3/8	6/8	4	1		V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
106	105	312	3.0	0	0	6/8	4	1		I	A	IV		I	I							M	0	0	0, 4, 1		0	0
107	106	315	1.5	0	0	6/8	4	1		V2	A	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
107	106	633/2	1.5	3/8	3/8	6/8	4	1		V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
108	107	318	3.0	0	0	6/8	4	1		i\\	A	IV		i	i						\\	m	0	0	0, -3, 1		0	0
109	108	321	1.5	0	0	6/8	4	1		iv.iv	A	iv		iv	iv							m	0	1	-1, -4, 0		-1	-1
109	108	645/2	0.5	3/8	3/8	6/8	4	1		V	A	iv		V	V							M	0	1	1, 5, 2		1	1
109	108	323	1.0	1/2	1/2	6/8	4	1		V6	A	iv		V6	V		6					M	0	1	5, 2, 1		1	5
110	109	324	1.5	0	0	6/8	4	1		vi	A	iv		vi	vi							m	0	1	-4, -7, -3		-4	-4
110	109	651/2	0.5	3/8	3/8	6/8	4	1		V6	A	iv		V6	V		6					M	0	1	5, 2, 1		1	5
110	109	326	1.0	1/2	1/2	6/8	4	1		V64	A	iv		V64	V		64					M	0	1	2, 1, 5		1	2
111	110	327	0.5	0	0	6/8	4	1		i	A	iv		i	i							m	0	1	0, -3, 1		0	0
111	110	655/2	1.0	1/8	1/8	6/8	4	1		i6	A	iv		i6	i		6					m	0	1	-3, 1, 0		0	-3
111	110	657/2	0.5	3/8	3/8	6/8	4	1		V43	A	iv		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
111	110	329	1.0	1/2	1/2	6/8	4	1		V2	A	iv		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
112	111	330	1.5	0	0	6/8	4	1		i	A	iv		i	i							m	0	1	0, -3, 1		0	0
112	111	663/2	1.5	3/8	3/8	6/8	4	1		i2	A	iv		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
113	112	333	1.5	0	0	6/8	4	1		VI	A	iv		VI	VI							M	0	1	-4, 0, -3		-4	-4
113	112	669/2	1.5	3/8	3/8	6/8	4	1		i64	A	iv		i64	i		64					m	0	1	1, 0, -3		0	1
114	113	336	6.0	0	0	6/8	4	1		viio7/V	A	iv		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
116	115	342	1.5	0	0	6/8	4	1		i.i	A	i		i	i							m	0	1	0, -3, 1		0	0
116	115	687/2	1.5	3/8	3/8	6/8	4	1		i2	A	i		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
117	116	345	1.5	0	0	6/8	4	1		VI	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
